Are you currently a student at Duke University?,"The following questions are about your age, race, gender, difficulty doing some activities, and experience as a
student at Duke University. 

How old are you?",What racial/ethnic groups do you most closely identify with? (Select all that apply) - Selected Choice,What racial/ethnic groups do you most closely identify with? (Select all that apply) - Other: - Text,Have you ever had a menstrual period?,"Which gender identity do you most identify with? 

(""cis"" or cisgender refers to identifying as the gender assigned at birth, while ""trans"" or transgender refers to identifying as a gender different than the one assigned at birth) - Selected Choice",What is your biological sex?,What type of student are you?,What type of housing do you live in?,What type of student are you?,Where did you learn about periods growing up? (Select all that apply) - Selected Choice,Where did you learn about periods growing up? (Select all that apply) - Other: - Text,"The following are questions about menstruation.

Where do you think the bleeding from menstruation originates? (Select one)",Did you have school-based menstrual education?,How well-informed did you feel in regard to menstruation after your school-based menstrual education?,What words would you use to describe periods generally?,How comfortable are you with discussing your own or others' periods?,Do you agree or disagree with the following statements? - People should feel comfortable having sex on their period.,Do you agree or disagree with the following statements? - Menstrual blood is dirty.,Do you agree or disagree with the following statements? - Menarche (a person's very first period) is reason for celebration.,"Do you agree or disagree with the following statements? - While on menstruation, one should refrain from some religious activities.","Do you agree or disagree with the following statements? - Code words should be used to describe periods (""Aunt Flow""; ""time of the month"").",Do you agree or disagree with the following statements? - People can become more irritable and depressed due to period-related needs.,Do you agree or disagree with the following statements? - Menstruation is a normal and healthy part of life.,Do you agree or disagree with the following statements? - It is normal to have really painful periods.,Do you agree or disagree with the following statements? - Menstruation is a symbol of feminine beauty.,"Do you agree or disagree with the following statements? - Menstrual products should be hidden since they are private, hygiene products.",Do you agree or disagree with the following statements? - Menstrual cramps are often exaggerated.,Do you agree or disagree with the following statements? - Menstrual leave/absence (being able to take time off work or school due to menstruation) should be available.,"Do you agree or disagree with the following statements? - The use of insert-type menstrual products (i.e., tampons, menstrual cups) may cause a loss of virginity.",Do you agree or disagree with the following statements? - Reusable (cloth) menstrual pads are unsanitary.,Do you agree or disagree with the following statements? - All menstrual products are expensive.,"The following questions are about your direct experiences with period products.

Have you ever provided or purchased a period product for someone else?",Have you ever not been able to afford menstrual products (such as pads or tampons)?,"In the last 12 months, how often have you not been able to afford menstrual products?",Do you think people avoid changing menstrual products while on campus?,What are some reasons you think people don't change their menstrual product on campus? (Select all that apply).,"Do you think people have ever missed, had to leave, or arrived late for class because of menstrual-related reasons? (Select all that apply).",Where do you think people purchase or access menstrual products? - Selected Choice,Where do you think people purchase or access menstrual products? - Other: - Text,"If the university were to distribute menstrual hygiene products, where do you suggest we distribute them? (Select all that apply) - Selected Choice","If the university were to distribute menstrual hygiene products, where do you suggest we distribute them? (Select all that apply) - Other: - Text"
Yes,,"East Asian,White",,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,School/Teacher,Magazines or books",,Uterus,Yes,Adequately informed,"Painful, necessary, healthy",Very comfortable,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,"Yes, friend,Yes, a family member,Yes, someone I did not know (for example in a public bathroom)",No,Never,Yes,"Not having another menstrual product available,Not having enough time.",Yes,"Dorms,Campus convenience store",,"Student bathrooms,Dorms,Campus convenience store",
Yes,21,"Hispanic or Latino,White",,No,Cis-Man,Male,Undergraduate - 4th year,On-campus Housing (University Owned),Out-of-state student,"Friends,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook),TV",,Uterus,No,,"Uncomfortable,periodic, sheeding, bleeding",Moderately comfortable,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,"Yes, friend,Yes, a family member",No,,No,"Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.",Yes,"Campus convenience store,Other:",Grocery store,"Wellness Center,Student bathrooms",
Yes,19,"Hispanic or Latino,White",,No,Trans-woman,Male,Undergraduate - 1st year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook),TV",,Uterus,No,,"Regular, cumbersome, ordinary",Moderately comfortable,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,"Yes, the partner/spouse",No,,Yes,"Worrying that someone might hear or see,Not having another menstrual product available,No place to dispose of/empty my period product.",Yes,"Wellness Center,Student bathrooms,Campus convenience store",,"Student bathrooms,Dorms",
Yes,18,White,,Yes,Cis-Woman,Female,Undergraduate - 1st year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,Doctor or other health care provider,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook),Magazines or books",,Uterus,Yes,Sufficiently informed,,Very comfortable,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,"No, never before",No,Never,Yes,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.",Yes,"Student bathrooms,Other:",Off campus stores,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,19,"Hispanic or Latino,White",,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,Doctor or other health care provider,School/Teacher,Internet/Websites/Search Engines",,Uterus,Yes,Sufficiently informed,"Painful, natural, bloody",Moderately comfortable,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,"Yes, friend",No,Never,No,"Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.,No place to dispose of/empty my period product.",Yes,"Wellness Center,Student bathrooms,Campus convenience store",,"Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,19,"African American,Black",,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,Doctor or other health care provider,School/Teacher",,Uterus,Yes,Adequately informed,BLOOD,Moderately comfortable,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,"No, never before",No,Always,No,"Not having another menstrual product available,Not having enough time.",Yes,Campus convenience store,,"Student bathrooms,Campus convenience store",
Yes,20,Indian,,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),In-state student,"Family,Friends,Doctor or other health care provider,School/Teacher",,Uterus,Yes,Adequately informed,Important to women ,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Agree,"Yes, friend,Yes, a family member,Yes, someone I did not know (for example in a public bathroom)",No,Never,No,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.,No place to dispose of/empty my period product.",Yes,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,19,White,,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,Doctor or other health care provider,School/Teacher,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook)",,Uterus,Yes,Sufficiently informed,"Painful, healthy, normal, messy, emotional, ",Very comfortable,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,"Yes, friend,Yes, someone I did not know (for example in a public bathroom)",No,Never,Yes,"Not having another menstrual product available,Not having enough time.",Yes,"Student bathrooms,Dorms,Campus convenience store",,"Student bathrooms,Dorms",
Yes,20,White,,Yes,Cis-Woman,Female,Undergraduate - 2nd year,On-campus Housing (University Owned),In-state student,"Family,Doctor or other health care provider,School/Teacher",,Uterus,Yes,Adequately informed,uncomfortable inconvenient ,Moderately comfortable,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,"Yes, friend,Yes, a family member,Yes, someone I did not know (for example in a public bathroom)",No,,No,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.",Yes,"Student bathrooms,Campus convenience store",,"Student bathrooms,Dorms,Campus convenience store",
Yes,21,White,,No,Cis-Man,Male,Undergraduate - 3rd year,On-campus Housing (University Owned),Out-of-state student,"Family,Friends,School/Teacher",,Ovaries,Yes,Insufficiently informed,Painful,Very comfortable,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,"No, never before",No,Never,Yes,"Worrying that someone might hear or see,Not having enough time.,The toilet facilities are not sanitary.",Yes,"Wellness Center,Student bathrooms,Campus convenience store",,"Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,20,"East Asian,White",,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),International student,"Family,Friends,Internet/Websites/Search Engines,Social media (e.g. Instagram, Facebook)",,Uterus,No,,"from a guy's perspective, complicated",Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,"Yes, a family member,Yes, the partner/spouse",No,Never,Yes,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.,No place to dispose of/empty my period product.",Yes,"University Bookstore,Wellness Center,Student bathrooms,Campus convenience store",,"University Bookstore,Student bathrooms,Dorms,Campus convenience store",
Yes,19,East Asian,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,"Family,School/Teacher",,Uterus,No,,"uncomfortable, cramps",Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,"Yes, a family member",No,,No,"Worrying that someone might hear or see,The toilet facilities are not sanitary.",Yes,"Wellness Center,Student bathrooms,Campus convenience store",,"University Bookstore,Wellness Center,Campus convenience store",
Yes,19,White,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,Doctor or other health care provider,,Uterus,No,,natural,Very comfortable,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,"Yes, friend",No,Never,No,,I don't know,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",,"University Bookstore,Wellness Center,Student bathrooms,Dorms,Campus convenience store",
Yes,19,East Asian,,No,Cis-Man,Male,Undergraduate - 2nd year,On-campus Housing (University Owned),Out-of-state student,Family,,Vagina,Yes,Sufficiently informed,"Painful, once a month",Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,"No, never before",No,,No,"Worrying that someone might hear or see,Not having another menstrual product available,Not having enough time.,The toilet facilities are not sanitary.,No place to dispose of/empty my period product.",I don't know,Wellness Center,,"Wellness Center,Student bathrooms,Dorms,Campus convenience store",
